Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2000 12:00:00 AM,Central,F,0 to 9,20520,2229,10.86
01/01/2000 12:00:00 AM,Central,F,10 to 19,23171,2883,12.44
01/01/2000 12:00:00 AM,Central,F,20 to 29,23475,2103,8.96
01/01/2000 12:00:00 AM,Central,F,30 to 39,29410,1995,6.78
01/01/2000 12:00:00 AM,Central,F,40 to 49,29328,2151,7.33
01/01/2000 12:00:00 AM,Central,F,50 to 59,21582,1722,7.98
01/01/2000 12:00:00 AM,Central,F,60 to 69,13577,966,7.11
01/01/2000 12:00:00 AM,Central,F,70 to 79,11175,764,6.84
01/01/2000 12:00:00 AM,Central,F,80 +,7973,434,5.44
01/01/2000 12:00:00 AM,Central,M,0 to 9,21025,3130,14.89
01/01/2000 12:00:00 AM,Central,M,10 to 19,24205,3563,14.72
01/01/2000 12:00:00 AM,Central,M,20 to 29,22118,1177,5.32
01/01/2000 12:00:00 AM,Central,M,30 to 39,26849,996,3.71
01/01/2000 12:00:00 AM,Central,M,40 to 49,27221,970,3.56
01/01/2000 12:00:00 AM,Central,M,50 to 59,20608,760,3.69
01/01/2000 12:00:00 AM,Central,M,60 to 69,12718,550,4.32
01/01/2000 12:00:00 AM,Central,M,70 to 79,8289,374,4.51
01/01/2000 12:00:00 AM,Central,M,80 +,3798,183,4.82
01/01/2000 12:00:00 AM,Eastern,F,0 to 9,7937,828,10.43
01/01/2000 12:00:00 AM,Eastern,F,10 to 19,8077,772,9.56
01/01/2000 12:00:00 AM,Eastern,F,20 to 29,8569,531,6.2
01/01/2000 12:00:00 AM,Eastern,F,30 to 39,11131,502,4.51
01/01/2000 12:00:00 AM,Eastern,F,40 to 49,13870,672,4.84
01/01/2000 12:00:00 AM,Eastern,F,50 to 59,11414,631,5.53
01/01/2000 12:00:00 AM,Eastern,F,60 to 69,7950,428,5.38
01/01/2000 12:00:00 AM,Eastern,F,70 to 79,6336,319,5.03
01/01/2000 12:00:00 AM,Eastern,F,80 +,5273,235,4.46
01/01/2000 12:00:00 AM,Eastern,M,0 to 9,8385,1203,14.35
01/01/2000 12:00:00 AM,Eastern,M,10 to 19,8791,1047,11.91
01/01/2000 12:00:00 AM,Eastern,M,20 to 29,8517,344,4.04
01/01/2000 12:00:00 AM,Eastern,M,30 to 39,10854,272,2.51
01/01/2000 12:00:00 AM,Eastern,M,40 to 49,13629,350,2.57
01/01/2000 12:00:00 AM,Eastern,M,50 to 59,11828,317,2.68
01/01/2000 12:00:00 AM,Eastern,M,60 to 69,7718,252,3.27
01/01/2000 12:00:00 AM,Eastern,M,70 to 79,5072,197,3.88
01/01/2000 12:00:00 AM,Eastern,M,80 +,2706,101,3.73
01/01/2000 12:00:00 AM,Northern,F,0 to 9,7445,700,9.4
01/01/2000 12:00:00 AM,Northern,F,10 to 19,7639,811,10.62
01/01/2000 12:00:00 AM,Northern,F,20 to 29,8460,636,7.52
01/01/2000 12:00:00 AM,Northern,F,30 to 39,10816,598,5.53
01/01/2000 12:00:00 AM,Northern,F,40 to 49,12084,701,5.8
01/01/2000 12:00:00 AM,Northern,F,50 to 59,9758,610,6.25
01/01/2000 12:00:00 AM,Northern,F,60 to 69,6507,388,5.96
01/01/2000 12:00:00 AM,Northern,F,70 to 79,5545,285,5.14
01/01/2000 12:00:00 AM,Northern,F,80 +,4436,212,4.78
01/01/2000 12:00:00 AM,Northern,M,0 to 9,8156,1118,13.71
01/01/2000 12:00:00 AM,Northern,M,10 to 19,8081,932,11.53
01/01/2000 12:00:00 AM,Northern,M,20 to 29,8313,367,4.41
01/01/2000 12:00:00 AM,Northern,M,30 to 39,10497,319,3.04
01/01/2000 12:00:00 AM,Northern,M,40 to 49,11934,349,2.92
01/01/2000 12:00:00 AM,Northern,M,50 to 59,10018,284,2.83
01/01/2000 12:00:00 AM,Northern,M,60 to 69,6371,217,3.41
01/01/2000 12:00:00 AM,Northern,M,70 to 79,4332,185,4.27
01/01/2000 12:00:00 AM,Northern,M,80 +,2220,100,4.5
01/01/2000 12:00:00 AM,Unknown,F,0 to 9,8833,801,9.07
01/01/2000 12:00:00 AM,Unknown,F,10 to 19,14243,1472,10.33
01/01/2000 12:00:00 AM,Unknown,F,20 to 29,12660,828,6.54
01/01/2000 12:00:00 AM,Unknown,F,30 to 39,10151,530,5.22
01/01/2000 12:00:00 AM,Unknown,F,40 to 49,7285,409,5.61
01/01/2000 12:00:00 AM,Unknown,F,50 to 59,4797,274,5.71
01/01/2000 12:00:00 AM,Unknown,F,60 to 69,2886,161,5.58
01/01/2000 12:00:00 AM,Unknown,F,70 to 79,2244,122,5.44
01/01/2000 12:00:00 AM,Unknown,F,80 +,1639,67,4.09
01/01/2000 12:00:00 AM,Unknown,M,0 to 9,8586,1144,13.32
01/01/2000 12:00:00 AM,Unknown,M,10 to 19,14489,1684,11.62
01/01/2000 12:00:00 AM,Unknown,M,20 to 29,12458,545,4.37
01/01/2000 12:00:00 AM,Unknown,M,30 to 39,9211,239,2.59
01/01/2000 12:00:00 AM,Unknown,M,40 to 49,6814,176,2.58
01/01/2000 12:00:00 AM,Unknown,M,50 to 59,4584,131,2.86
01/01/2000 12:00:00 AM,Unknown,M,60 to 69,2738,111,4.05
01/01/2000 12:00:00 AM,Unknown,M,70 to 79,1606,57,3.55
01/01/2000 12:00:00 AM,Unknown,M,80 +,805,36,4.47
01/01/2000 12:00:00 AM,Western,F,0 to 9,9158,836,9.13
01/01/2000 12:00:00 AM,Western,F,10 to 19,9597,997,10.39
01/01/2000 12:00:00 AM,Western,F,20 to 29,10324,768,7.44
01/01/2000 12:00:00 AM,Western,F,30 to 39,14307,859,6
01/01/2000 12:00:00 AM,Western,F,40 to 49,16498,938,5.69
01/01/2000 12:00:00 AM,Western,F,50 to 59,13854,847,6.11
01/01/2000 12:00:00 AM,Western,F,60 to 69,9392,556,5.92
01/01/2000 12:00:00 AM,Western,F,70 to 79,7542,438,5.81
01/01/2000 12:00:00 AM,Western,F,80 +,6034,258,4.28
01/01/2000 12:00:00 AM,Western,M,0 to 9,9998,1296,12.96
01/01/2000 12:00:00 AM,Western,M,10 to 19,10073,1170,11.62
01/01/2000 12:00:00 AM,Western,M,20 to 29,10216,409,4
01/01/2000 12:00:00 AM,Western,M,30 to 39,13831,457,3.3
01/01/2000 12:00:00 AM,Western,M,40 to 49,15993,482,3.01
01/01/2000 12:00:00 AM,Western,M,50 to 59,13771,446,3.24
01/01/2000 12:00:00 AM,Western,M,60 to 69,9321,340,3.65
01/01/2000 12:00:00 AM,Western,M,70 to 79,6367,286,4.49
01/01/2000 12:00:00 AM,Western,M,80 +,3440,153,4.45
01/01/2001 12:00:00 AM,Central,F,0 to 9,20080,2173,10.82
01/01/2001 12:00:00 AM,Central,F,10 to 19,23519,3225,13.71
01/01/2001 12:00:00 AM,Central,F,20 to 29,23533,2304,9.79
01/01/2001 12:00:00 AM,Central,F,30 to 39,29177,2191,7.51
01/01/2001 12:00:00 AM,Central,F,40 to 49,30288,2453,8.1
01/01/2001 12:00:00 AM,Central,F,50 to 59,22571,1964,8.7
01/01/2001 12:00:00 AM,Central,F,60 to 69,13941,1109,7.95
01/01/2001 12:00:00 AM,Central,F,70 to 79,11226,841,7.49
01/01/2001 12:00:00 AM,Central,F,80 +,8302,488,5.88
01/01/2001 12:00:00 AM,Central,M,0 to 9,20697,3156,15.25
01/01/2001 12:00:00 AM,Central,M,10 to 19,24567,4044,16.46
01/01/2001 12:00:00 AM,Central,M,20 to 29,22276,1395,6.26
01/01/2001 12:00:00 AM,Central,M,30 to 39,26681,1099,4.12
01/01/2001 12:00:00 AM,Central,M,40 to 49,28299,1132,4
01/01/2001 12:00:00 AM,Central,M,50 to 59,21391,882,4.12
01/01/2001 12:00:00 AM,Central,M,60 to 69,13065,600,4.59
01/01/2001 12:00:00 AM,Central,M,70 to 79,8454,424,5.02
01/01/2001 12:00:00 AM,Central,M,80 +,4085,201,4.92
01/01/2001 12:00:00 AM,Eastern,F,0 to 9,7900,815,10.32
01/01/2001 12:00:00 AM,Eastern,F,10 to 19,8044,901,11.2
01/01/2001 12:00:00 AM,Eastern,F,20 to 29,8406,581,6.91
01/01/2001 12:00:00 AM,Eastern,F,30 to 39,10821,539,4.98
01/01/2001 12:00:00 AM,Eastern,F,40 to 49,13904,732,5.26
01/01/2001 12:00:00 AM,Eastern,F,50 to 59,11806,740,6.27
01/01/2001 12:00:00 AM,Eastern,F,60 to 69,8076,457,5.66
01/01/2001 12:00:00 AM,Eastern,F,70 to 79,6309,346,5.48
01/01/2001 12:00:00 AM,Eastern,F,80 +,5382,259,4.81
01/01/2001 12:00:00 AM,Eastern,M,0 to 9,8269,1214,14.68
01/01/2001 12:00:00 AM,Eastern,M,10 to 19,8846,1217,13.76
01/01/2001 12:00:00 AM,Eastern,M,20 to 29,8334,397,4.76
01/01/2001 12:00:00 AM,Eastern,M,30 to 39,10551,292,2.77
01/01/2001 12:00:00 AM,Eastern,M,40 to 49,13608,376,2.76
01/01/2001 12:00:00 AM,Eastern,M,50 to 59,12161,374,3.08
01/01/2001 12:00:00 AM,Eastern,M,60 to 69,7872,266,3.38
01/01/2001 12:00:00 AM,Eastern,M,70 to 79,5139,224,4.36
01/01/2001 12:00:00 AM,Eastern,M,80 +,2734,108,3.95
01/01/2001 12:00:00 AM,Northern,F,0 to 9,7445,696,9.35
01/01/2001 12:00:00 AM,Northern,F,10 to 19,7629,905,11.86
01/01/2001 12:00:00 AM,Northern,F,20 to 29,8286,708,8.54
01/01/2001 12:00:00 AM,Northern,F,30 to 39,10577,656,6.2
01/01/2001 12:00:00 AM,Northern,F,40 to 49,12314,804,6.53
01/01/2001 12:00:00 AM,Northern,F,50 to 59,10070,673,6.68
01/01/2001 12:00:00 AM,Northern,F,60 to 69,6655,436,6.55
01/01/2001 12:00:00 AM,Northern,F,70 to 79,5511,324,5.88
01/01/2001 12:00:00 AM,Northern,F,80 +,4554,225,4.94
01/01/2001 12:00:00 AM,Northern,M,0 to 9,8114,1111,13.69
01/01/2001 12:00:00 AM,Northern,M,10 to 19,8125,1089,13.4
01/01/2001 12:00:00 AM,Northern,M,20 to 29,8113,409,5.04
01/01/2001 12:00:00 AM,Northern,M,30 to 39,10363,346,3.34
01/01/2001 12:00:00 AM,Northern,M,40 to 49,12008,395,3.29
01/01/2001 12:00:00 AM,Northern,M,50 to 59,10388,332,3.2
01/01/2001 12:00:00 AM,Northern,M,60 to 69,6522,218,3.34
01/01/2001 12:00:00 AM,Northern,M,70 to 79,4370,190,4.35
01/01/2001 12:00:00 AM,Northern,M,80 +,2323,115,4.95
01/01/2001 12:00:00 AM,Unknown,F,0 to 9,7809,707,9.05
01/01/2001 12:00:00 AM,Unknown,F,10 to 19,13819,1571,11.37
01/01/2001 12:00:00 AM,Unknown,F,20 to 29,12168,884,7.26
01/01/2001 12:00:00 AM,Unknown,F,30 to 39,9849,561,5.7
01/01/2001 12:00:00 AM,Unknown,F,40 to 49,7224,438,6.06
01/01/2001 12:00:00 AM,Unknown,F,50 to 59,4862,312,6.42
01/01/2001 12:00:00 AM,Unknown,F,60 to 69,2846,176,6.18
01/01/2001 12:00:00 AM,Unknown,F,70 to 79,2208,124,5.62
01/01/2001 12:00:00 AM,Unknown,F,80 +,1638,79,4.82
01/01/2001 12:00:00 AM,Unknown,M,0 to 9,7752,980,12.64
01/01/2001 12:00:00 AM,Unknown,M,10 to 19,13808,1846,13.37
01/01/2001 12:00:00 AM,Unknown,M,20 to 29,12169,574,4.72
01/01/2001 12:00:00 AM,Unknown,M,30 to 39,9012,253,2.81
01/01/2001 12:00:00 AM,Unknown,M,40 to 49,6831,190,2.78
01/01/2001 12:00:00 AM,Unknown,M,50 to 59,4661,138,2.96
01/01/2001 12:00:00 AM,Unknown,M,60 to 69,2751,118,4.29
01/01/2001 12:00:00 AM,Unknown,M,70 to 79,1565,59,3.77
01/01/2001 12:00:00 AM,Unknown,M,80 +,791,42,5.31
01/01/2001 12:00:00 AM,Western,F,0 to 9,9205,822,8.93
01/01/2001 12:00:00 AM,Western,F,10 to 19,9577,1123,11.73
01/01/2001 12:00:00 AM,Western,F,20 to 29,10088,845,8.38
01/01/2001 12:00:00 AM,Western,F,30 to 39,13901,893,6.42
01/01/2001 12:00:00 AM,Western,F,40 to 49,16752,1052,6.28
01/01/2001 12:00:00 AM,Western,F,50 to 59,14302,984,6.88
01/01/2001 12:00:00 AM,Western,F,60 to 69,9580,598,6.24
01/01/2001 12:00:00 AM,Western,F,70 to 79,7548,475,6.29
01/01/2001 12:00:00 AM,Western,F,80 +,6201,300,4.84
01/01/2001 12:00:00 AM,Western,M,0 to 9,9901,1307,13.2
01/01/2001 12:00:00 AM,Western,M,10 to 19,10127,1381,13.64
01/01/2001 12:00:00 AM,Western,M,20 to 29,10038,460,4.58
01/01/2001 12:00:00 AM,Western,M,30 to 39,13346,501,3.75
01/01/2001 12:00:00 AM,Western,M,40 to 49,16202,541,3.34
01/01/2001 12:00:00 AM,Western,M,50 to 59,14237,509,3.58
01/01/2001 12:00:00 AM,Western,M,60 to 69,9581,390,4.07
01/01/2001 12:00:00 AM,Western,M,70 to 79,6431,288,4.48
01/01/2001 12:00:00 AM,Western,M,80 +,3524,184,5.22
01/01/2002 12:00:00 AM,Central,F,0 to 9,19774,2109,10.67
01/01/2002 12:00:00 AM,Central,F,10 to 19,23672,3589,15.16
01/01/2002 12:00:00 AM,Central,F,20 to 29,23760,2549,10.73
01/01/2002 12:00:00 AM,Central,F,30 to 39,28856,2333,8.08
01/01/2002 12:00:00 AM,Central,F,40 to 49,31289,2742,8.76
01/01/2002 12:00:00 AM,Central,F,50 to 59,23449,2174,9.27
01/01/2002 12:00:00 AM,Central,F,60 to 69,14443,1296,8.97
01/01/2002 12:00:00 AM,Central,F,70 to 79,11242,881,7.84
01/01/2002 12:00:00 AM,Central,F,80 +,8555,540,6.31
01/01/2002 12:00:00 AM,Central,M,0 to 9,20340,3099,15.24
01/01/2002 12:00:00 AM,Central,M,10 to 19,24795,4490,18.11
01/01/2002 12:00:00 AM,Central,M,20 to 29,22578,1581,7
01/01/2002 12:00:00 AM,Central,M,30 to 39,26319,1206,4.58
01/01/2002 12:00:00 AM,Central,M,40 to 49,29334,1257,4.29
01/01/2002 12:00:00 AM,Central,M,50 to 59,22282,1010,4.53
01/01/2002 12:00:00 AM,Central,M,60 to 69,13524,653,4.83
01/01/2002 12:00:00 AM,Central,M,70 to 79,8663,454,5.24
01/01/2002 12:00:00 AM,Central,M,80 +,4268,226,5.3
01/01/2002 12:00:00 AM,Eastern,F,0 to 9,7764,797,10.27
01/01/2002 12:00:00 AM,Eastern,F,10 to 19,8085,1000,12.37
01/01/2002 12:00:00 AM,Eastern,F,20 to 29,8278,635,7.67
01/01/2002 12:00:00 AM,Eastern,F,30 to 39,10419,581,5.58
01/01/2002 12:00:00 AM,Eastern,F,40 to 49,13969,766,5.48
01/01/2002 12:00:00 AM,Eastern,F,50 to 59,12189,808,6.63
01/01/2002 12:00:00 AM,Eastern,F,60 to 69,8274,511,6.18
01/01/2002 12:00:00 AM,Eastern,F,70 to 79,6318,375,5.94
01/01/2002 12:00:00 AM,Eastern,F,80 +,5448,272,4.99
01/01/2002 12:00:00 AM,Eastern,M,0 to 9,8166,1186,14.52
01/01/2002 12:00:00 AM,Eastern,M,10 to 19,8849,1409,15.92
01/01/2002 12:00:00 AM,Eastern,M,20 to 29,8302,458,5.52
01/01/2002 12:00:00 AM,Eastern,M,30 to 39,10177,304,2.99
01/01/2002 12:00:00 AM,Eastern,M,40 to 49,13537,425,3.14
01/01/2002 12:00:00 AM,Eastern,M,50 to 59,12528,394,3.14
01/01/2002 12:00:00 AM,Eastern,M,60 to 69,8112,302,3.72
01/01/2002 12:00:00 AM,Eastern,M,70 to 79,5208,226,4.34
01/01/2002 12:00:00 AM,Eastern,M,80 +,2738,115,4.2
01/01/2002 12:00:00 AM,Northern,F,0 to 9,7393,701,9.48
01/01/2002 12:00:00 AM,Northern,F,10 to 19,7657,1002,13.09
01/01/2002 12:00:00 AM,Northern,F,20 to 29,8154,747,9.16
01/01/2002 12:00:00 AM,Northern,F,30 to 39,10312,726,7.04
01/01/2002 12:00:00 AM,Northern,F,40 to 49,12446,883,7.09
01/01/2002 12:00:00 AM,Northern,F,50 to 59,10377,770,7.42
01/01/2002 12:00:00 AM,Northern,F,60 to 69,6888,487,7.07
01/01/2002 12:00:00 AM,Northern,F,70 to 79,5522,356,6.45
01/01/2002 12:00:00 AM,Northern,F,80 +,4608,237,5.14
01/01/2002 12:00:00 AM,Northern,M,0 to 9,8015,1115,13.91
01/01/2002 12:00:00 AM,Northern,M,10 to 19,8181,1235,15.1
01/01/2002 12:00:00 AM,Northern,M,20 to 29,7968,453,5.69
01/01/2002 12:00:00 AM,Northern,M,30 to 39,10194,355,3.48
01/01/2002 12:00:00 AM,Northern,M,40 to 49,12069,460,3.81
01/01/2002 12:00:00 AM,Northern,M,50 to 59,10630,359,3.38
01/01/2002 12:00:00 AM,Northern,M,60 to 69,6819,249,3.65
01/01/2002 12:00:00 AM,Northern,M,70 to 79,4435,198,4.46
01/01/2002 12:00:00 AM,Northern,M,80 +,2382,110,4.62
01/01/2002 12:00:00 AM,Unknown,F,0 to 9,7076,631,8.92
01/01/2002 12:00:00 AM,Unknown,F,10 to 19,13291,1643,12.36
01/01/2002 12:00:00 AM,Unknown,F,20 to 29,11948,924,7.73
01/01/2002 12:00:00 AM,Unknown,F,30 to 39,9497,559,5.89
01/01/2002 12:00:00 AM,Unknown,F,40 to 49,7259,464,6.39
01/01/2002 12:00:00 AM,Unknown,F,50 to 59,4964,341,6.87
01/01/2002 12:00:00 AM,Unknown,F,60 to 69,2895,189,6.53
01/01/2002 12:00:00 AM,Unknown,F,70 to 79,2091,113,5.4
01/01/2002 12:00:00 AM,Unknown,F,80 +,1647,91,5.53
01/01/2002 12:00:00 AM,Unknown,M,0 to 9,6947,844,12.15
01/01/2002 12:00:00 AM,Unknown,M,10 to 19,13173,1912,14.51
01/01/2002 12:00:00 AM,Unknown,M,20 to 29,11909,662,5.56
01/01/2002 12:00:00 AM,Unknown,M,30 to 39,8812,267,3.03
01/01/2002 12:00:00 AM,Unknown,M,40 to 49,6876,216,3.14
01/01/2002 12:00:00 AM,Unknown,M,50 to 59,4662,139,2.98
01/01/2002 12:00:00 AM,Unknown,M,60 to 69,2790,125,4.48
01/01/2002 12:00:00 AM,Unknown,M,70 to 79,1547,66,4.27
01/01/2002 12:00:00 AM,Unknown,M,80 +,808,38,4.7
01/01/2002 12:00:00 AM,Western,F,0 to 9,9105,800,8.79
01/01/2002 12:00:00 AM,Western,F,10 to 19,9606,1250,13.01
01/01/2002 12:00:00 AM,Western,F,20 to 29,9945,929,9.34
01/01/2002 12:00:00 AM,Western,F,30 to 39,13432,950,7.07
01/01/2002 12:00:00 AM,Western,F,40 to 49,16952,1172,6.91
01/01/2002 12:00:00 AM,Western,F,50 to 59,14674,1098,7.48
01/01/2002 12:00:00 AM,Western,F,60 to 69,9925,678,6.83
01/01/2002 12:00:00 AM,Western,F,70 to 79,7587,512,6.75
01/01/2002 12:00:00 AM,Western,F,80 +,6292,336,5.34
01/01/2002 12:00:00 AM,Western,M,0 to 9,9779,1278,13.07
01/01/2002 12:00:00 AM,Western,M,10 to 19,10217,1591,15.57
01/01/2002 12:00:00 AM,Western,M,20 to 29,9871,503,5.1
01/01/2002 12:00:00 AM,Western,M,30 to 39,12969,532,4.1
01/01/2002 12:00:00 AM,Western,M,40 to 49,16389,582,3.55
01/01/2002 12:00:00 AM,Western,M,50 to 59,14601,555,3.8
01/01/2002 12:00:00 AM,Western,M,60 to 69,9894,435,4.4
01/01/2002 12:00:00 AM,Western,M,70 to 79,6480,307,4.74
01/01/2002 12:00:00 AM,Western,M,80 +,3627,195,5.38
01/01/2003 12:00:00 AM,Central,F,0 to 9,19489,2002,10.27
01/01/2003 12:00:00 AM,Central,F,10 to 19,23903,3918,16.39
01/01/2003 12:00:00 AM,Central,F,20 to 29,24009,2754,11.47
01/01/2003 12:00:00 AM,Central,F,30 to 39,28577,2456,8.59
01/01/2003 12:00:00 AM,Central,F,40 to 49,32038,3027,9.45
01/01/2003 12:00:00 AM,Central,F,50 to 59,24468,2417,9.88
01/01/2003 12:00:00 AM,Central,F,60 to 69,14963,1424,9.52
01/01/2003 12:00:00 AM,Central,F,70 to 79,11307,920,8.14
01/01/2003 12:00:00 AM,Central,F,80 +,8796,588,6.68
01/01/2003 12:00:00 AM,Central,M,0 to 9,20083,3027,15.07
01/01/2003 12:00:00 AM,Central,M,10 to 19,24984,4938,19.76
01/01/2003 12:00:00 AM,Central,M,20 to 29,23124,1802,7.79
01/01/2003 12:00:00 AM,Central,M,30 to 39,25977,1300,5
01/01/2003 12:00:00 AM,Central,M,40 to 49,30228,1406,4.65
01/01/2003 12:00:00 AM,Central,M,50 to 59,23194,1090,4.7
01/01/2003 12:00:00 AM,Central,M,60 to 69,14068,739,5.25
01/01/2003 12:00:00 AM,Central,M,70 to 79,8821,475,5.38
01/01/2003 12:00:00 AM,Central,M,80 +,4392,236,5.37
01/01/2003 12:00:00 AM,Eastern,F,0 to 9,7635,769,10.07
01/01/2003 12:00:00 AM,Eastern,F,10 to 19,8150,1146,14.06
01/01/2003 12:00:00 AM,Eastern,F,20 to 29,8227,669,8.13
01/01/2003 12:00:00 AM,Eastern,F,30 to 39,10105,628,6.21
01/01/2003 12:00:00 AM,Eastern,F,40 to 49,13874,821,5.92
01/01/2003 12:00:00 AM,Eastern,F,50 to 59,12510,873,6.98
01/01/2003 12:00:00 AM,Eastern,F,60 to 69,8505,570,6.7
01/01/2003 12:00:00 AM,Eastern,F,70 to 79,6344,384,6.05
01/01/2003 12:00:00 AM,Eastern,F,80 +,5440,291,5.35
01/01/2003 12:00:00 AM,Eastern,M,0 to 9,8117,1188,14.64
01/01/2003 12:00:00 AM,Eastern,M,10 to 19,8825,1535,17.39
01/01/2003 12:00:00 AM,Eastern,M,20 to 29,8365,518,6.19
01/01/2003 12:00:00 AM,Eastern,M,30 to 39,9881,339,3.43
01/01/2003 12:00:00 AM,Eastern,M,40 to 49,13370,442,3.31
01/01/2003 12:00:00 AM,Eastern,M,50 to 59,12903,448,3.47
01/01/2003 12:00:00 AM,Eastern,M,60 to 69,8418,323,3.84
01/01/2003 12:00:00 AM,Eastern,M,70 to 79,5186,216,4.17
01/01/2003 12:00:00 AM,Eastern,M,80 +,2793,119,4.26
01/01/2003 12:00:00 AM,Northern,F,0 to 9,7413,710,9.58
01/01/2003 12:00:00 AM,Northern,F,10 to 19,7667,1070,13.96
01/01/2003 12:00:00 AM,Northern,F,20 to 29,8056,817,10.14
01/01/2003 12:00:00 AM,Northern,F,30 to 39,10142,787,7.76
01/01/2003 12:00:00 AM,Northern,F,40 to 49,12463,951,7.63
01/01/2003 12:00:00 AM,Northern,F,50 to 59,10797,873,8.09
01/01/2003 12:00:00 AM,Northern,F,60 to 69,7121,536,7.53
01/01/2003 12:00:00 AM,Northern,F,70 to 79,5523,386,6.99
01/01/2003 12:00:00 AM,Northern,F,80 +,4623,252,5.45
01/01/2003 12:00:00 AM,Northern,M,0 to 9,7938,1168,14.71
01/01/2003 12:00:00 AM,Northern,M,10 to 19,8206,1367,16.66
01/01/2003 12:00:00 AM,Northern,M,20 to 29,7969,512,6.42
01/01/2003 12:00:00 AM,Northern,M,30 to 39,9905,376,3.8
01/01/2003 12:00:00 AM,Northern,M,40 to 49,12166,487,4
01/01/2003 12:00:00 AM,Northern,M,50 to 59,10946,405,3.7
01/01/2003 12:00:00 AM,Northern,M,60 to 69,7112,267,3.75
01/01/2003 12:00:00 AM,Northern,M,70 to 79,4510,203,4.5
01/01/2003 12:00:00 AM,Northern,M,80 +,2398,123,5.13
